State,Year,Quarter,Brand,Transaction_count,Percentage
Andaman And Nicobar Islands,2021,4,Samsung,12574,0.17517414321538002
Andaman And Nicobar Islands,2021,4,Oppo,6127,0.085358038450821
Andaman And Nicobar Islands,2021,4,Realme,5830,0.081220395653385
Andaman And Nicobar Islands,2021,4,OnePlus,2691,0.037489551407077
Andaman And Nicobar Islands,2021,4,Apple,1490,0.020757871273335
Andaman And Nicobar Islands,2021,4,Huawei,1459,0.020325996099191
Andaman And Nicobar Islands,2021,4,Tecno,1417,0.019740874895514002
Andaman And Nicobar Islands,2021,4,Motorola,1055,0.014697687378099001
Andaman And Nicobar Islands,2021,4,Others,4572,0.06369462245750901
Andaman And Nicobar Islands,2022,1,Vivo,18688,0.24496644295302003
Andaman And Nicobar Islands,2022,1,Xiaomi,17957,0.23538433305369102
Andaman And Nicobar Islands,2022,1,Samsung,12955,0.16981700922818702
Andaman And Nicobar Islands,2022,1,Realme,6769,0.088729551174496
Andaman And Nicobar Islands,2022,1,Oppo,6461,0.084692218959731
Andaman And Nicobar Islands,2022,1,OnePlus,3005,0.039390205536912005
Andaman And Nicobar Islands,2022,1,Tecno,1770,0.023201552013422003
Andaman And Nicobar Islands,2022,1,Apple,1634,0.021418833892617003
Andaman And Nicobar Islands,2022,1,Huawei,1441,0.018888947147651002
Andaman And Nicobar Islands,2022,1,Motorola,1050,0.013763632550335001
Andaman And Nicobar Islands,2022,1,Others,4558,0.059747273489932
Andhra Pradesh,2018,1,Xiaomi,836581,0.250739858232552
Andhra Pradesh,2018,1,Samsung,683687,0.20491450493788302
Andhra Pradesh,2018,1,Vivo,425959,0.127668330111345
Andhra Pradesh,2018,1,Oppo,304487,0.091260771178947
Andhra Pradesh,2018,1,Realme,236646,0.07092748280357801
Andhra Pradesh,2018,1,Motorola,129739,0.038885342205038004
Andhra Pradesh,2018,1,OnePlus,129421,0.038790031320715006
Andhra Pradesh,2018,1,Apple,123274,0.036947653943562
Andhra Pradesh,2018,1,Lenovo,84138,0.025217821337049
Andhra Pradesh,2018,1,Huawei,76654,0.022974718638073002
Andhra Pradesh,2018,1,Others,305864,0.09167348529125201
Andhra Pradesh,2018,2,Xiaomi,1113800,0.252990319224811
Andhra Pradesh,2018,2,Samsung,903290,0.20517474003643302
Andhra Pradesh,2018,2,Vivo,586965,0.13332417195528
Andhra Pradesh,2018,2,Oppo,410549,0.093252758634788
Andhra Pradesh,2018,2,Realme,305964,0.069497153915694
Andhra Pradesh,2018,2,Motorola,169847,0.038579320119749
Andhra Pradesh,2018,2,OnePlus,155418,0.035301893906699
Andhra Pradesh,2018,2,Apple,151847,0.034490771236604004
Andhra Pradesh,2018,2,Lenovo,107441,0.024404321141886003
Andhra Pradesh,2018,2,Huawei,102929,0.023379458221844
Andhra Pradesh,2018,2,Others,394490,0.08960509160620901
Andhra Pradesh,2018,3,Xiaomi,1385112,0.25519707820209103
Andhra Pradesh,2018,3,Samsung,1103186,0.20325420898342603
Andhra Pradesh,2018,3,Vivo,761793,0.140354966092854
Andhra Pradesh,2018,3,Oppo,518120,0.09545994125967201
Andhra Pradesh,2018,3,Realme,379712,0.069959247308717
Andhra Pradesh,2018,3,Motorola,203756,0.037540600230266
Andhra Pradesh,2018,3,OnePlus,181364,0.033415032785106005
Andhra Pradesh,2018,3,Apple,175343,0.032305706169024
Andhra Pradesh,2018,3,Huawei,134429,0.024767591375736003
Andhra Pradesh,2018,3,Lenovo,122489,0.022567730921323
Andhra Pradesh,2018,3,Others,462313,0.08517789667178001
Andhra Pradesh,2018,4,Xiaomi,1753802,0.25575286525858304
Andhra Pradesh,2018,4,Samsung,1388061,0.20241770616277902
Andhra Pradesh,2018,4,Vivo,1011185,0.147458755923702
Andhra Pradesh,2018,4,Oppo,675093,0.09844724151643801
Andhra Pradesh,2018,4,Realme,476746,0.069522759981211
Andhra Pradesh,2018,4,Motorola,250601,0.036544560780901
Andhra Pradesh,2018,4,OnePlus,210161,0.030647289668736002
Andhra Pradesh,2018,4,Apple,209737,0.030585458735216002
Andhra Pradesh,2018,4,Huawei,176237,0.025700231676424
Andhra Pradesh,2018,4,Lenovo,149583,0.021813340869707
Andhra Pradesh,2018,4,Others,556203,0.08110978942629701
Andhra Pradesh,2019,1,Xiaomi,2110547,0.25480407566371605
Andhra Pradesh,2019,1,Samsung,1688342,0.20383171884550702
Andhra Pradesh,2019,1,Vivo,1262871,0.152465061350215
Andhra Pradesh,2019,1,Oppo,835541,0.10087396877877401
Andhra Pradesh,2019,1,Realme,564832,0.068191561555032
Andhra Pradesh,2019,1,Motorola,291830,0.035232322900623
Andhra Pradesh,2019,1,Apple,241108,0.029108710242002
